NAME,2019_population,STATE,COUNTY,2018_population,2017_population,2016_population,2015_population,2014_population,2013_population,2012_population,2011_population,2010_population,2009_population,2008_population,2007_population,2006_population,2005_population,2019_home_values,2018_home_values,2017_home_values,2016_home_values,2015_home_values,2014_home_values,2013_home_values,2012_home_values,2011_home_values,2010_home_values,2009_home_values,2008_home_values,2007_home_values,2006_home_values,2005_home_values,GEO_ID,LAND AREA,WATER AREA,LATITUDE,LONGITUDE,SSP3_2020,SSP3_2025,SSP3_2030,SSP3_2035,SSP3_2040,Population_Delta,Population_Delta_Raw,Population_pct_change,HV_pct_change,Population_Price_Discrepancy
"Wayne County, Michigan",1749343,26,163,1753893,1753616,1749366,1759335,1764804,1775273,1792365,1802096,1815734,1925848,1949929,1985101,1971853,1966909,134300,120700,114400,105300,92400,84900,78100,77200,83100,89500,98900,128100,137300,139500,135900,26163,1585280173.0,156946749.0,42.2846636,-83.2619533,1687796.478,1604283.742,1512126.398,1419755.212,1328803.813,-0.04948033550760841,-83512.7359999998,-0.11061314987119383,-0.01177336276674025,0.09883978710445358
"Cook County, Illinois",5150233,17,31,5180493,5211263,5203499,5238216,5246456,5240700,5231351,5217080,5200950,5287037,5294664,5285107,5288655,5206357,261400,255900,247600,234400,230900,213600,209700,209300,224900,244400,261600,284000,281800,273300,241800,17031,2448383588.0,1785882224.0,41.8942937,-87.6454546,5204473.068,5121130.492,5004265.405,4872564.219,4718486.953,-0.016013643439224796,-83342.57600000035,-0.01077989849716414,0.08105872622001654,0.09183862471718068
"Cuyahoga County, Ohio",1235072,39,35,1243857,1248514,1249352,1255921,1259828,1263154,1265111,1270294,1278208,1275709,1283925,1295958,1314241,1305166,143100,139100,131700,126700,124400,120700,118800,122300,123300,132200,131200,140800,142000,138900,136500,39035,1184118946.0,2041935958.0,41.760392,-81.7242168,1228117.042,1191794.074,1147417.134,1099595.419,1049034.306,-0.029576145235186698,-36322.96799999988,-0.05370504594817824,0.04835164835164835,0.10205669429982658
"Suffolk County, New York",1476601,36,103,1481093,1492953,1492583,1501587,1502968,1499738,1499273,1498816,1494434,1518475,1512224,1453229,1469715,1444642,430500,409400,394600,386400,381700,368800,368400,374800,383400,390800,407500,433800,447800,445700,412300,36103,2362201496.0,3784184893.0,40.943554,-72.6922184,1477814.07,1445839.253,1404029.742,1356922.34,1306092.368,-0.021636562845825415,-31974.81700000004,0.022122435869924868,0.044142614601018676,0.02202017873109381
"Genesee County, Michigan",405813,26,49,406892,407385,408615,410849,412895,415376,418408,422080,424926,424043,428790,434715,441966,438589,128900,118700,110000,106900,99200,93800,82800,84100,87900,94100,107100,126800,129300,131600,127200,26049,1649763682.0,32658914.0,43.0210768,-83.7063718,389803.5243,365943.066,339643.5388,312679.7174,285700.4414,-0.061211499672426124,-23860.4583,-0.07473055639790327,0.013364779874213837,0.0880953362721171
"Lake County, Illinois",696535,17,97,700832,703520,703047,703910,705186,703019,702120,706222,704596,712567,712453,710241,713076,684726,274400,269300,262600,264100,258100,247500,236600,237400,254200,268000,286100,296400,310700,281900,271700,17097,1149099822.0,2395243697.0,42.3264435,-87.4361178,690852.6597,672288.1408,648917.7624,623150.4278,596209.031,-0.0268718932167989,-18564.518899999908,0.017246314584227852,0.009937430990062569,-0.007308883594165283
"New Haven County, Connecticut",854757,9,9,857620,860435,856875,859470,861277,862287,862813,861113,862989,848006,846101,845494,845244,817828,251500,251100,243400,247600,244400,242700,242000,242100,254200,269200,272500,283400,280200,265800,245600,9009,1565663096.0,667053119.0,41.3497173,-72.9002037,845034.0291,826660.4507,802689.5529,776314.413,748921.2802,-0.021743004148091764,-18373.5784,0.045154971460991795,0.024022801302931596,-0.0211321701580602
"Monmouth County, New Jersey",618795,34,25,621354,626351,625846,628715,629279,629672,629384,631020,630966,644105,642448,642030,635285,625874,445000,436200,421700,411300,396000,387900,380600,373500,387400,399900,402800,435000,445000,444800,421800,34025,1214167244.0,509002211.0,40.287056,-74.1524457,613926.3526,595964.5618,573768.0048,548829.9115,521370.8551,-0.0292572402600591,-17961.79079999996,-0.011310583280340772,0.055002370791844474,0.06631295407218525
"Allegheny County, Pennsylvania",1216045,42,3,1218452,1223048,1225365,1230459,1231255,1231527,1229338,1227066,1223583,1218494,1215103,1219210,1223411,1195503,170100,163300,153500,147100,141700,133500,127500,121900,123400,119000,121000,116900,113800,107700,101700,42003,1890884266.0,37418903.0,40.4689204,-79.9809196,1217757.593,1200449.385,1177156.227,1149986.747,1114949.018,-0.014213180110304677,-17308.2080000001,0.017182725597510003,0.672566371681416,0.655383646083906
"Shelby County, Tennessee",937166,47,157,935764,936961,934603,938069,938803,939465,940764,935088,929030,920232,906825,910100,911438,889955,170900,157700,148600,141200,135800,130700,123000,129400,131700,136800,136100,139500,133400,126800,118200,47157,1976612450.0,56576401.0,35.1837942,-89.895397,928455.5873,911182.1445,887760.993,861880.5097,832912.4948,-0.018604490119158077,-17273.44279999996,0.05304874965588148,0.44585448392554994,0.39280573426966847
