"STATEFP10,C,2","COUNTYFP10,C,3","COUNTYNS10,C,8",GEO_ID,NAME,LAND AREA,WATER AREA,LATITUDE,LONGITUDE,GEO_ID,SSP3_2020,SSP3_2025,SSP3_2030,SSP3_2035,SSP3_2040
02,013,01419964,02013,Aleutians East Borough,18083148800,20792209033,+55.2437223,-161.9507485,02013,3701.07999241,4161.49187905,4570.68487787,4840.95161289,5004.82315928
02,016,01419965,02016,Aleutians West Census Area,11370762625,25190643524,+51.9594469,+178.3388130,02016,6317.43777585,6934.1190335,7591.93884668,8214.0329016,8765.16662574
28,107,00695776,28107,Panola County,1774515519,51767046,+34.3652052,-089.9630654,28107,32886.9817225,31281.8641266,29402.2247948,27498.7533046,25592.4003881
28,101,00695773,28101,Newton County,1497282694,3879399,+32.4019702,-089.1184115,28101,21134.6967586,20451.1232622,19599.8258061,18716.9869241,17805.839001
28,027,00695738,28027,Coahoma County,1430818231,79539470,+34.2286699,-090.6031650,28027,22386.5969007,20264.7691859,18147.1680512,16172.6004849,14365.3229128
22,065,00558088,22065,Madison Parish,1617283455,68538668,+32.3658243,-091.2407290,22065,11057.3600908,10432.2072508,9766.01401882,9122.99662519,8537.94510327
51,540,01789068,51540,Charlottesville city,26517362,52974,+38.0376579,-078.4853806,51540,48996.007267,51744.4750955,54424.7043066,55734.5149632,56829.8215313
51,510,01498415,51510,Alexandria city,38919733,1140371,+38.8183429,-077.0820263,51510,166321.568377,176876.774147,186184.062012,195140.145309,203083.058136
51,530,01498417,51530,Buena Vista city,17362236,223855,+37.7316634,-079.3563746,51530,6387.9788833,6211.05038189,5994.75368021,5753.27378694,5503.95271915
51,600,01789070,51600,Fairfax city,16159465,95054,+38.8531833,-077.2990252,51600,24250.249429,24559.1018056,24659.3006697,24602.5742598,24473.8390665
48,113,01383842,48113,Dallas County,2256602704,96696353,+32.7669866,-096.7784238,48113,2709549.39624,2846244.37781,2968057.52051,3083035.8855,3183490.35474
48,227,01383899,48227,Howard County,2333038341,8841951,+32.3035834,-101.4385304,48227,39295.3506059,41596.9950438,43731.0039325,45900.3504004,47896.2724652
48,155,01383863,48155,Foard County,1824378528,8514811,+33.9804040,-099.7774272,48155,1156.76278662,1082.3305907,1009.78614473,942.371853083,887.215666443
48,153,01383862,48153,Floyd County,2569637321,983740,+34.0737305,-101.3032742,48153,5433.8741111,4993.87102058,4573.72828407,4194.56316399,3834.64412779
48,043,01383807,48043,Brewster County,16015795085,22064004,+29.8089965,-103.2524579,48043,8837.25361921,8478.00581168,8013.03815192,7503.88493563,7006.64641356
48,159,01383865,48159,Franklin County,736568975,26876088,+33.1758457,-095.2190662,48159,10397.1462809,10189.0300463,9953.28155804,9689.28670803,9405.77498694
48,231,01383901,48231,Hunt County,2176414426,108014750,+33.1234378,-096.0838072,48231,91717.70029,93119.8543005,93866.4939004,94187.4063816,94027.9528122
48,351,01383961,48351,Newton County,2418212417,15672105,+30.7867182,-093.7392500,48351,13373.7317751,12619.0985792,11802.9487614,10981.5977463,10196.6655883
