"STATEFP10,C,2","COUNTYFP10,C,3","COUNTYNS10,C,8","GEOID10,C,5","NAME10,C,100","NAMELSAD10,C,100","LSAD10,C,2","CLASSFP10,C,2","MTFCC10,C,5","CSAFP10,C,3","CBSAFP10,C,5","METDIVFP10,C,5","FUNCSTAT10,C,1","ALAND10,N,19,11","AWATER10,N,19,11","INTPTLAT10,C,11","INTPTLON10,C,12","geoid,C,254","ssp12020,N,19,11","ssp22020,N,19,11","ssp32020,N,19,11","ssp42020,N,19,11","ssp52020,N,19,11","ssp12025,N,19,11","ssp22025,N,19,11","ssp32025,N,19,11","ssp42025,N,19,11","ssp52025,N,19,11","ssp12030,N,19,11","ssp22030,N,19,11","ssp32030,N,19,11","ssp42030,N,19,11","ssp52030,N,19,11","ssp12035,N,19,11","ssp22035,N,19,11","ssp32035,N,19,11","ssp42035,N,19,11","ssp52035,N,19,11","ssp12040,N,19,11","ssp22040,N,19,11","ssp32040,N,19,11","ssp42040,N,19,11","ssp52040,N,19,11","ssp12045,N,19,11","ssp22045,N,19,11","ssp32045,N,19,11","ssp42045,N,19,11","ssp52045,N,19,11","ssp12050,N,19,11","ssp22050,N,19,11","ssp32050,N,19,11","ssp42050,N,19,11","ssp52050,N,19,11","ssp12055,N,19,11","ssp22055,N,19,11","ssp32055,N,19,11","ssp42055,N,19,11","ssp52055,N,19,11","ssp12060,N,19,11","ssp22060,N,19,11","ssp32060,N,19,11","ssp42060,N,19,11","ssp52060,N,19,11","ssp12065,N,19,11","ssp22065,N,19,11","ssp32065,N,19,11","ssp42065,N,19,11","ssp52065,N,19,11","ssp12070,N,19,11","ssp22070,N,19,11","ssp32070,N,19,11","ssp42070,N,19,11","ssp52070,N,19,11","ssp12075,N,19,11","ssp22075,N,19,11","ssp32075,N,19,11","ssp42075,N,19,11","ssp52075,N,19,11","ssp12080,N,19,11","ssp22080,N,19,11","ssp32080,N,19,11","ssp42080,N,19,11","ssp52080,N,19,11","ssp12085,N,19,11","ssp22085,N,19,11","ssp32085,N,19,11","ssp42085,N,19,11","ssp52085,N,19,11","ssp12090,N,19,11","ssp22090,N,19,11","ssp32090,N,19,11","ssp42090,N,19,11","ssp52090,N,19,11","ssp12095,N,19,11","ssp22095,N,19,11","ssp32095,N,19,11","ssp42095,N,19,11","ssp52095,N,19,11","ssp12100,N,19,11","ssp22100,N,19,11","ssp32100,N,19,11","ssp42100,N,19,11","ssp52100,N,19,11"
02,013,01419964,02013,Aleutians East,Aleutians East Borough,04,H1,G4020,,,,A,18083148800,20792209033,+55.2437223,-161.9507485,02013,3774.19615203,3765.43873942,3701.07999241,3753.08450347,3831.38347799,4325.18617875,4306.77962286,4161.49187905,4282.81491965,4453.0669542,4851.09260672,4818.5300858,4570.68487787,4778.48181015,5066.68833601,5262.56311816,5211.76666588,4840.95161289,5148.3618347,5585.36461699,5591.28305614,5522.23114741,5004.82315928,5420.58880812,6050.90556067,5897.34766489,5810.94271404,5125.68148214,5657.73104572,6518.77732593,6152.27619552,6050.72023761,5182.92499576,5830.31968327,6957.02628994,6378.04105356,6266.31495067,5205.85725346,5967.38150254,7390.45348993,6634.91961621,6513.2793399,5236.7909869,6121.45531709,7890.4043427,6799.55922589,6673.19388783,5169.97871006,6169.03712907,8322.09731641,6924.49104902,6793.72271353,5056.04731289,6164.40065968,8732.60062966,7041.75946856,6900.82672203,4930.64193368,6143.62436008,9139.77346611,7137.2042852,6985.28975481,4794.77732992,6099.95213801,9527.31200504,7108.77124625,6964.91127765,4596.21293396,5951.8334195,9786.33665061,7063.6997852,6927.92146394,4391.7387456,5783.82178999,10043.3164697,6973.55666098,6864.56147148,4176.96379353,5589.43151838,10261.204592,6882.76843205,6817.44441676,3978.00628367,5409.1111466,10487.7033535
02,016,01419965,02016,Aleutians West,Aleutians West Census Area,05,H5,G4020,,,,S,11370762625,25190643524,+51.9594469,+178.3388130,02016,6445.23447457,6434.11080069,6317.43777585,6407.19250221,6553.96778766,7222.37952283,7202.03503694,6934.1190335,7142.817072,7472.09722844,8095.10762976,8060.49322663,7591.93884668,7950.46317242,8529.02045745,8987.62364635,8929.7769901,8214.0329016,8751.02085565,9650.27964024,9875.14148874,9788.89524543,8765.16662574,9508.57634657,10838.9326051,10770.080822,10654.9654429,9264.05471947,10239.9308379,12110.5645483,11624.1446128,11483.8087327,9660.87446156,10891.9159284,13429.4185378,12529.2776378,12367.7050014,10048.016895,11559.7735611,14893.1770649,13371.9614646,13197.7838897,10339.3340485,12141.7337274,16374.2916455,14212.162451,14028.0538424,10580.5662835,12680.7455633,17940.1503606,15036.3365963,14838.2546923,10761.5909052,13164.3956021,19565.3538894,15827.3876239,15604.7474471,10876.6630389,13577.820072,21227.2404521,16535.9736864,16295.6004261,10911.8936162,13891.5524073,22867.0679148,17093.2446207,16867.1424746,10855.3406127,14066.0323602,24407.6589172,17637.4210514,17437.958221,10792.2123559,14219.3292121,25997.3511366,18145.877084,18013.9659182,10729.9129539,14361.5274258,27606.207585,18600.9622101,18578.18758,10647.5397442,14472.8564639,29216.1331979
28,107,00695776,28107,Panola,Panola County,06,H1,G4020,,,,A,1774515519,51767046,+34.3652052,-089.9630654,28107,33683.8644259,33593.2477264,32886.9817225,33366.8234524,34322.4432243,32791.6510792,32644.8479651,31281.8641266,32228.8759807,34028.8180065,31672.9906679,31476.5612278,29402.2247948,30816.8700925,33558.863398,30470.6518642,30220.2186656,27498.7533046,29346.2629639,32959.1112385,29194.8657808,28894.2190656,25592.4003881,27814.1354667,32270.0551654,27830.8223971,27501.0100101,23687.424931,26216.4640656,31489.6759587,26437.7480636,26108.1217169,21827.9706205,24607.0221426,30695.6299461,25091.4881979,24790.5408539,20080.4954551,23069.7100192,29942.5512538,23739.5540974,23487.5878519,18404.7903866,21555.1325155,29145.786923,22332.5803918,22130.4578242,16770.4544504,20013.6934904,28195.7061732,20858.6982896,20710.5697968,15171.8423362,18434.5191323,27095.4474355,19386.9632426,19291.8297967,13658.8008069,16877.1779861,25930.7426649,17908.9258573,17879.4665389,12220.9179552,15344.957074,24707.4485116,16500.0862278,16544.0998584,10904.0913923,13906.4350208,23507.1411069,15141.3952457,15254.5850143,9677.16518173,12537.7200796,22298.2653117,13811.0677774,13993.9530991,8535.62983763,11225.4206505,21047.1585865,12544.6446521,12787.0274876,7508.47993854,10006.3720067,19764.6600729
28,101,00695773,28101,Newton,Newton County,06,H1,G4020,,,,A,1497282694,3879399,+32.4019702,-089.1184115,28101,21646.2969721,21582.0913455,21134.6967586,21440.6500469,22044.041186,21433.9496166,21329.0816324,20451.1232622,21059.9417971,22221.4303285,21134.6623402,20990.4294958,19599.8258061,20537.1130302,22389.9653552,20808.3953142,20614.3260894,18716.9869241,19987.500014,22529.1280085,20437.2991526,20187.5792236,17805.839001,19388.284771,22627.20281,19981.0742607,19681.2709441,16839.2187784,18699.3924839,22658.475122,19548.4543523,19212.0674834,15920.9612325,18031.8547662,22758.9580296,19075.2602077,18723.7806325,14993.9684892,17330.1497645,22851.8008738,18511.3265867,18171.5070276,14034.2446561,16557.3183532,22861.9683857,17924.9015141,17608.2042127,13107.6664875,15779.4042311,22819.3985248,17338.903354,17042.1056692,12225.1653106,15012.2761038,22737.5829345,16700.7047873,16424.1182001,11352.6082612,14205.5194802,22566.9433546,15975.5474349,15742.5496438,10482.7377722,13348.2546875,22276.7200229,15354.3550267,15191.8005629,9755.62799346,12632.241873,22080.4850447,14537.0194514,14443.0428759,8904.01959732,11731.4850514,21638.6844816,13729.3611426,13714.7990069,8103.78968251,10864.7139615,21172.9422837,12925.6920095,13006.4438794,7372.83840323,10042.6196612,20651.5033184
28,027,00695738,28027,Coahoma,Coahoma County,06,H1,G4020,,17260,,A,1430818231,79539470,+34.2286699,-090.6031650,28027,22936.0505489,22879.7967137,22386.5969007,22713.6125367,23389.0005393,21245.8638206,21157.9505697,20264.7691859,20875.3413616,22065.0507541,19554.5962952,19441.7631675,18147.1680512,19014.3844008,20742.2289248,17931.8733296,17792.750304,16172.6004849,17253.4614447,19425.5934466,16409.9192213,16247.8085203,14365.3229128,15611.6340759,18174.8953408,14968.7337135,14797.6049654,12709.8754752,14071.5970633,16980.984719,13652.1044543,13486.1593032,11235.2721815,12673.7785877,15898.1774155,12489.8070363,12340.777859,9954.89447564,11446.3764812,14954.6391114,11429.8075438,11306.8895713,8812.59810252,10332.56599,14096.8907614,10455.7622138,10361.4189458,7793.0004588,9313.65237431,13294.9465487,9571.27839287,9510.37954353,6895.99204636,8393.85906318,12565.7310872,8805.65173692,8776.88429809,6130.83296227,7592.98672968,11949.6513854,8135.04953349,8141.90916032,5471.7472766,6890.189533,11431.3279535,7583.65855455,7627.95196062,4928.6183776,6305.23862958,11045.3847983,7122.56628537,7203.2273823,4467.21015722,5805.71799684,10766.2478708,6725.61373973,6844.73918724,4069.66634071,5368.64986479,10565.1245167,6412.89164495,6568.44069386,3748.70114207,5012.87077045,10456.7240262
22,065,00558088,22065,Madison,Madison Parish,15,H1,G4020,,45260,,A,1617283455,68538668,+32.3658243,-091.2407290,22065,11328.5941493,11300.3311115,11057.3600908,11225.755288,11550.7206576,10942.491416,10899.1368766,10432.2072508,10762.8950668,11372.6964715,10521.4553542,10468.082221,9766.01401882,10251.325352,11172.1843797,10103.952495,10042.8160726,9122.99662519,9745.2006003,10970.9223987,9740.86000192,9680.01290478,8537.94510327,9284.54978262,10858.6058058,9370.02416304,9321.52447879,7959.92348883,8817.65870011,10763.2510724,9015.59410402,8989.76258397,7411.29319984,8365.00870275,10695.9895471,8716.9331708,8719.19911337,6925.90774596,7969.6169911,10691.3084177,8446.2283023,8477.80617577,6488.63014066,7609.30303979,10711.7124536,8166.48158598,8221.97545487,6072.12918508,7248.03595525,10690.5826536,7909.24224663,7984.9632445,5685.89668906,6903.75581157,10691.3668823,7645.55508244,7738.89258802,5304.88445234,6550.35612309,10684.2679543,7357.71799773,7472.1736933,4929.63785702,6184.48577315,10643.2544851,7079.83930933,7218.48224509,4584.17144749,5836.7457962,10600.8499911,6813.77140939,6974.90414286,4262.47951698,5505.17248869,10559.9418936,6559.65394747,6743.54478395,3965.70399183,5189.98268718,10524.8137422,6325.41145015,6530.78654706,3701.50559759,4900.79412049,10498.6017532
51,540,01789068,51540,Charlottesville,Charlottesville city,25,C7,G4020,,16820,,F,26517362,52974,+38.0376579,-078.4853806,51540,50087.2865865,50011.5625408,48996.007267,49696.8818853,51053.9272625,53936.0823351,53815.9009559,51744.4750955,53180.9016058,55908.8958336,58055.8130159,57856.5599842,54424.7043066,56746.0259457,61295.1865482,61218.8034239,60905.7165036,55734.5149632,59108.0632248,66143.575645,64431.5794773,63932.9167118,56829.8215313,61437.9171429,71208.8162422,67632.4979839,66898.9777908,57534.9652472,63550.048214,76614.9644127,70677.6849861,69675.5718327,57827.3555527,65318.0803032,82172.20994,73611.4475498,72257.3976402,58021.3089867,66997.4655933,87662.4771004,76346.071888,74610.1232815,57852.4651899,68319.6799335,93232.565197,78280.7954483,76159.932085,56857.3369064,68709.1900463,98217.4017181,79249.0895882,76797.0300989,55077.5710363,68109.9787073,102369.178396,79741.507041,77017.8177447,53094.1313572,67081.6043391,106070.646627,81834.0421319,79057.3063378,52637.4560072,67809.5166087,111616.779066,83200.9868937,80445.509119,51695.0343952,67893.2673807,116391.456874,84184.6162271,81508.4163475,50532.7919478,67640.7586498,120791.302212,84434.8787365,82052.9886408,48980.9907036,66859.3165393,124450.379333,83898.725215,82077.6502752,47058.8308637,65558.3964427,127267.719031
51,510,01498415,51510,Alexandria,Alexandria city,25,C7,G4020,548,47900,47894,F,38919733,1140371,+38.8183429,-077.0820263,51510,170517.647411,170216.607967,166321.568377,169041.351322,174221.068874,185466.922173,184914.277241,176876.774147,182621.504471,193042.305622,200235.57135,199305.563477,186184.062012,195409.106247,212442.181137,215314.061363,213717.124008,195140.145309,208222.492027,232441.995583,230555.11734,228099.403427,203083.058136,220472.202881,253821.599182,246169.01474,242813.581451,209986.829742,232321.369766,277380.955414,261360.96611,257104.988586,215050.455643,242938.538345,302389.509247,275758.556335,270659.317032,218282.509323,252165.287643,328055.490875,289525.393753,283532.512695,220267.54483,260317.926086,354111.527802,301648.461578,294659.146667,220561.394775,266443.70282,379088.69046,311772.177063,303790.888153,219143.410522,270283.133347,402722.061157,323020.911835,313937.137726,218314.95282,274684.007309,428640.418335,333793.705322,324070.564148,217134.457062,278644.436401,455174.070618,342843.729279,333172.628784,214925.564987,281255.127365,480710.901764,350065.22052,341019.20459,211748.947449,282440.304611,504733.93634,354823.353943,347312.948883,207454.163467,282007.160568,526342.177094,356557.74086,351604.436646,201826.051224,279554.32933,544852.095734
51,530,01498417,51530,Buena Vista,Buena Vista city,25,C7,G4020,,,,F,17362236,223855,+37.7316634,-079.3563746,51530,6531.79142908,6511.56223293,6387.9788833,6474.92849045,6638.9345851,6486.85597059,6454.08561717,6211.05038189,6383.12054997,6700.33222372,6437.98802401,6394.93212036,5994.75368021,6263.80328949,6797.80177901,6386.29675109,6333.51713843,5753.27378694,6130.04782876,6922.37498951,6329.91972035,6271.28506631,5503.95271915,5987.93680203,7061.4578585,6262.83358705,6205.41342793,5244.01322646,5828.4130239,7214.80078086,6215.5753395,6166.0163355,5015.56779827,5689.49959065,7407.52555144,6164.25015739,6132.53522953,4807.76783106,5556.8328492,7608.40090567,6141.13051537,6136.56375534,4634.72490562,5452.77244037,7858.92321034,6122.20115003,6142.00444812,4465.2136596,5346.63328743,8120.16915554,6182.62830348,6220.47139569,4357.121319,5309.98945917,8473.58151321,6228.50330383,6286.68920749,4245.99337727,5259.72268033,8819.90279359,6304.57971096,6383.09590936,4162.63476789,5239.2587117,9204.10651112,6336.11767791,6425.38659141,4037.04659493,5166.77124607,9541.01875815,6275.71950209,6382.85474217,3856.27099389,5010.9539361,9781.18324399,6191.83054471,6324.49061871,3674.85968924,4840.79093277,9997.7025764,6125.88318384,6282.25649858,3512.90444529,4690.53324199,10227.5961862
51,600,01789070,51600,Fairfax,Fairfax city,25,C7,G4020,548,47900,47894,F,16159465,95054,+38.8531833,-077.2990252,51600,24862.5250392,24771.4973876,24250.249429,24618.0983812,25309.3842796,25791.8137289,25614.511183,24559.1018056,25322.0808955,26689.5610497,26654.3458028,26369.3493881,24659.3006697,25879.1897907,28093.1906929,27455.6400681,27029.5665789,24602.5742598,26321.6824713,29491.2081509,28279.5313454,27692.4900723,24473.8390665,26730.5218949,31012.9381514,29042.4252758,28284.6229515,24200.6961956,27016.3453388,32601.0078449,29677.809021,28756.4466286,23752.0395174,27121.9143486,34194.6130371,30264.1331635,29213.1956272,23259.8088627,27171.8514214,35852.164444,30897.2393417,29743.3516808,22812.626049,27258.52034,37655.0414314,31457.9454193,30210.5272408,22314.5044479,27260.1782303,39426.1476669,32086.7981262,30733.0581169,21855.7973022,27288.2241325,41326.7280121,32662.0173874,31201.1921959,21360.2316818,27238.496809,43240.1432953,33291.6461525,31778.609827,20950.2729912,27272.1223278,45281.2298355,33553.7297134,32072.4768791,20334.5327263,27010.0577507,46975.1502914,33734.7785721,32361.9472733,19751.8571234,26735.5706787,48606.171669,33769.4571633,32605.8838334,19145.4316692,26412.9156532,50092.0813961,33292.059485,32455.4350119,18272.6612401,25695.4886091,51033.5372896
