NAME,2019_population,2018_population,2017_population,2016_population,2015_population,2014_population,2013_population,2012_population,2011_population,2010_population,2009_population,2008_population,2007_population,2006_population,2005_population,2019_home_values,2018_home_values,2017_home_values,2016_home_values,2015_home_values,2014_home_values,2013_home_values,2012_home_values,2011_home_values,2010_home_values,2009_home_values,2008_home_values,2007_home_values,2006_home_values,2005_home_values
"San Juan County, New Mexico",123958,125043,126926,115079,118737,123785,126503,128529,128200,130145,124131,122500,122427,126473,124994,154200,149600,156300,153100,147800,151500,130500,145700,155800,153200,156200,158500,148200,126700,96000
"Putnam County, Florida",74521,74163,73464,72277,72023,72143,72577,73263,74041,74262,72893,73459,73821,74083,72148,100400,90600,86600,83700,82300,83600,83700,90900,92300,89000,96600,119600,104300,104300,81900
"Grays Harbor County, Washington",75061,73901,72697,71628,71122,70818,71078,71692,72546,72882,71797,71342,71335,71587,68309,220600,193300,169200,151800,157400,169700,156300,154500,149500,162200,157600,180500,146600,143800,129700
"Cochise County, Arizona",125922,126770,124756,125770,126427,127448,129473,132088,133289,131789,129518,129006,127866,127757,120439,154000,142200,155600,130100,146900,144800,150000,140700,143200,138700,155000,170100,156100,136700,115400
"Sullivan County, New York",75432,75498,75485,74801,74877,75943,76665,76793,76900,77500,75828,76189,76303,76588,71914,173100,179900,177500,167200,168500,161700,167300,165900,168100,183800,179000,194300,181900,180600,157300
"Aroostook County, Maine",67055,67111,67653,67959,68628,69447,70055,70868,71482,71720,71488,71676,72047,73008,71046,93900,96700,101000,98800,104200,89000,90400,93300,93800,95000,84900,89200,84600,78600,73300
"Citrus County, Florida",149657,147929,145647,143621,141058,139377,139271,139360,140031,141129,140357,141416,140169,138143,132209,156400,137600,128900,121900,115900,116300,107500,111300,109000,119900,137700,155200,147900,143100,127900
"Klamath County, Oregon",68238,67653,66935,66443,66016,65455,65910,65912,65552,64723,66890,64854,66031,67673,65178,186300,169500,179300,155500,150900,152000,144400,140200,165900,163500,172300,175500,180400,156300,124700
"Lewis County, Washington",80707,79604,78200,77066,75882,75128,75081,75621,75901,75487,74741,74132,73645,73585,71430,247600,246400,197900,185300,169900,173200,163700,187500,180600,190500,182200,200300,194700,172400,143800
"Highlands County, Florida",106221,105424,102883,100917,99491,98236,97616,98128,98630,98700,98704,100011,99349,97987,94177,144900,105800,100200,92100,92600,80800,80500,86000,85400,108800,114800,131600,139000,118800,100700
"Genesee County, Michigan",405813,406892,407385,408615,410849,412895,415376,418408,422080,424926,424043,428790,434715,441966,438589,128900,118700,110000,106900,99200,93800,82800,84100,87900,94100,107100,126800,129300,131600,127200
"Cattaraugus County, New York",76117,76840,77348,77677,77922,78600,78892,79458,79832,80229,79689,79688,80087,81534,79201,93700,86200,88300,83200,88100,85400,85000,81500,81600,77800,77800,78200,76700,74100,70600
"Jefferson County, Arkansas",66824,68114,69115,70016,71565,72297,73191,74723,76246,77358,78705,78373,78986,80655,76258,81600,84100,85800,88000,80200,83900,78400,85500,84900,74300,78900,80100,69400,68500,62300
"Shiawassee County, Michigan",68122,68192,68446,68554,68619,68933,68900,69232,69841,70606,70006,70880,71753,72912,72224,138400,125100,133200,114100,113100,102400,100300,96900,106900,114700,122800,134000,138700,137400,129400
"Van Buren County, Michigan",75677,75448,75353,75223,75077,75199,75455,75454,76131,76186,78227,77801,77931,79018,76896,152700,150400,136200,131300,122100,121600,113600,123000,110500,124200,117100,132200,125500,132300,116400
"Scioto County, Ohio",75314,75502,75929,76088,76825,77258,78153,78477,79277,79506,76334,76587,75958,76441,73403,115100,99700,101100,100300,89500,93600,90600,93100,84800,91700,80900,90100,85600,77600,78800
"Cambria County, Pennsylvania",130192,131730,133054,134732,136411,137732,140499,141584,143728,143498,143998,144319,144995,146967,138963,96800,94600,91600,93400,89100,88800,85300,85400,88100,86200,90400,84600,89600,82100,72100
"Pinal County, Arizona",462789,447138,430237,418540,406584,401918,389350,387365,382992,383842,340962,327301,299246,271059,214319,213300,200200,179900,166300,156500,145900,135100,110100,104300,123500,137800,168500,197500,207500,131000
"Kennebec County, Maine",122302,122083,121821,120569,119980,121112,121164,121853,121935,122143,121090,120959,120839,121068,117620,169300,156300,163100,152900,151900,148600,151500,150300,153400,153800,154400,143000,144500,140900,121900
"Caldwell County, North Carolina",82178,82029,81981,81449,81287,81484,81990,81930,82395,82998,79914,80059,79454,79841,77918,131100,122500,119800,110500,106800,115700,105600,101900,107300,107200,102800,111800,100800,105600,109200
"Cowlitz County, Washington",110593,108987,106910,105160,103468,102133,101860,101996,102478,102501,101966,101254,100467,99905,95905,281300,244000,208900,197000,187900,165400,179300,169800,174600,194200,202100,210800,177500,179000,153500
"Saginaw County, Michigan",190539,190800,191934,192326,193307,195012,196542,198353,199088,199911,200050,200745,202268,206300,202037,108300,105800,104300,96200,93500,89700,95100,92200,96700,104200,103900,113000,114000,115700,111500
"Douglas County, Oregon",110980,110283,109405,108457,107685,106972,106940,107164,107490,107638,103205,104059,104119,105117,102678,218600,216400,200600,183400,170400,171200,163800,164800,180100,172200,176700,210100,190400,174000,150900
"Sussex County, New Jersey",140488,140799,141682,142522,143673,144909,145992,147442,148517,149239,151118,150909,151478,153384,151443,279600,269300,268500,265500,267600,265200,267900,270600,284200,293700,306500,325800,341300,332400,293900
"Hardin County, Kentucky",110958,110356,108071,107316,106439,108266,108191,107025,107456,106933,99770,98546,97949,97087,93024,158200,162600,151200,162200,145300,142200,142200,142500,138400,143400,142600,143800,123500,121600,120600
"Navajo County, Arizona",110924,110445,108956,110026,108277,108101,107322,107094,107398,107551,112975,112757,111273,111399,106192,148000,124600,138900,98700,120900,104400,98500,98300,98700,133700,144000,161500,126900,88000,94100
"Wood County, Wisconsin",72999,73055,73126,73107,73435,73608,73959,74424,74785,74793,73932,73756,73944,74774,73988,131000,129400,135500,134400,127600,124600,120800,116700,113600,124000,121200,115700,116600,107700,104900
"Wayne County, New York",89918,90064,90670,90798,91446,92051,92473,92962,93436,93753,91291,91564,91291,92889,91951,124000,130600,125000,119400,120900,117100,118000,103800,106900,104200,109700,113000,102000,99200,98700
"Richland County, Ohio",121154,121099,120589,121107,121707,121942,121773,122673,123510,124177,124490,124999,125679,127010,121365,118600,114600,107900,104100,102600,100400,101400,96800,104700,106300,106700,115500,122200,110900,106600
"Marion County, Ohio",65093,65256,64967,65096,65355,65720,65905,66238,66212,66482,65655,65768,65248,65583,61031,118200,110700,98200,88200,91800,95100,96400,99300,100600,94800,100000,97500,97600,98100,91000
"Wayne County, Michigan",1749343,1753893,1753616,1749366,1759335,1764804,1775273,1792365,1802096,1815734,1925848,1949929,1985101,1971853,1966909,134300,120700,114400,105300,92400,84900,78100,77200,83100,89500,98900,128100,137300,139500,135900
"Ashtabula County, Ohio",97241,97493,97807,98231,98632,99175,99811,100389,101345,101429,100767,100648,101141,102703,101082,128200,112700,113400,111400,107300,100800,103900,103300,110400,114800,118300,118500,117100,117600,117700
