NAME,2019_population,STATE,COUNTY,2018_population,2017_population,2016_population,2015_population,2014_population,2013_population,2012_population,2011_population,2010_population,2009_population,2008_population,2007_population,2006_population,2005_population,2019_home_values,2018_home_values,2017_home_values,2016_home_values,2015_home_values,2014_home_values,2013_home_values,2012_home_values,2011_home_values,2010_home_values,2009_home_values,2008_home_values,2007_home_values,2006_home_values,2005_home_values,GEO_ID,LAND AREA,WATER AREA,LATITUDE,LONGITUDE,SSP3_2020,SSP3_2025,SSP3_2030,SSP3_2035,SSP3_2040,Population_Delta,Population_Delta_Raw,Population_pct_change,HV_pct_change,Population_Price_Discrepancy
"Story County, Iowa",97117,19,169,98105,97502,97090,96021,94073,92406,91140,89663,89575,87214,86754,84752,80145,70480,200000,191300,200300,173800,177400,167000,158100,165800,160500,159000,156200,154600,156500,147100,145100,19169,1483592867.0,2152172.0,42.0375379,-93.4660934,102692.3653,111056.5929,118596.1313,124649.9681,131104.3137,0.08144936164986744,8364.227599999998,0.37793700340522135,0.3783597518952447,0.00042274849002332804
"Matanuska-Susitna Borough, Alaska",108317,2,170,107610,106532,104365,101095,97882,95192,93925,91946,89737,88379,85458,82669,80480,75001,261800,251800,254000,244500,236100,227000,220700,223900,218000,209600,219800,218700,221000,194600,175000,2170,63734160198.0,1682737402.0,62.1821735,-149.407974,111644.4816,121255.6835,130086.4228,138338.936,145571.5789,0.08608756798598453,9611.2019,0.4442074105678591,0.496,0.05179258943214088
"Burleigh County, North Dakota",95626,38,15,95273,95030,94487,92991,90503,88457,85774,83145,81666,79822,78689,77316,75384,71020,275300,272400,266000,249700,245000,219500,207400,177600,162500,166800,160900,156300,144100,131100,117500,38015,4228552194.0,92317493.0,46.9718426,-100.4620005,103883.3457,114131.7141,123824.3037,133127.2913,141977.3173,0.0986526601636011,10248.368399999992,0.3464657842861166,1.3429787234042554,0.9965129391181389
"Brunswick County, North Carolina",142820,37,19,136744,130897,126953,122765,118836,115301,112257,110097,107992,107062,103160,99214,94945,88396,241000,218200,214300,205300,200300,176100,195100,174100,177800,190100,209200,192000,187500,162000,139100,37019,2193650178.0,525380745.0,34.0387081,-78.2276879,135088.2452,146655.7371,156194.4514,163490.0499,168682.4102,0.08562915213588097,11567.491899999994,0.6156839676003439,0.732566498921639,0.11688253132129511
"Gallatin County, Montana",114434,30,31,111876,107810,104502,100739,97308,94720,92614,91377,89658,90343,91791,89204,81763,77543,414200,412100,344600,347900,293100,280100,264400,259300,260500,254000,273000,327300,306900,261900,216900,30031,6740934490.0,76086709.0,45.5355586,-111.1734431,112499.9315,124153.9288,135174.8932,145197.3376,154787.76,0.10359115018661133,11653.997299999988,0.47574893929819584,0.9096357768556939,0.433886837557498
"Wilson County, Tennessee",144657,47,189,140625,136442,132781,128911,125376,121945,118961,116617,114537,112377,109803,106356,104035,99204,320100,276700,260200,234800,233400,207200,201700,188000,178800,188800,194800,204600,182300,169000,160000,47189,1478433235.0,32037460.0,36.1484757,-86.2902097,141836.6825,153848.788,164610.6374,174367.0176,183047.7333,0.08468969584084854,12012.105500000005,0.4581770896334825,1.000625,0.5424479103665176
"Dorchester County, South Carolina",162809,45,35,160647,156456,153773,152478,148469,145397,142496,140892,137476,130417,127133,123505,118979,110552,226900,219400,203900,180300,176200,163000,171000,159100,176100,162900,176900,181200,167700,162200,140900,45035,1484665975.0,6664942.0,33.0821859,-80.4046966,166548.0395,179133.1671,190485.0,200942.4564,210052.3258,0.07556454965055279,12585.127599999978,0.47269158405094436,0.6103619588360539,0.13767037478510957
"Washington County, Utah",177556,49,53,171700,165662,160245,155602,151948,147800,144809,141666,138451,137473,137589,133791,126312,117385,323800,313000,279800,266200,231400,221800,204300,182200,215400,217400,234800,262400,248700,244900,203400,49053,6284236933.0,9307859.0,37.2625308,-113.4878003,170708.0008,184926.9451,197236.8266,208132.2673,217483.2133,0.08329395361298146,14218.944300000003,0.5125953060442134,0.591937069813176,0.07934176376896251
"Johnson County, Iowa",151140,19,103,151260,149210,146547,144251,142287,139155,136317,133038,131225,131005,128094,125692,118038,108919,256500,236300,226400,238000,196900,205100,197100,187700,180500,190200,176100,182400,172900,171600,157300,19103,1590355537.0,23595204.0,41.6687365,-91.5888122,158343.7182,172721.2883,186188.6185,198139.8439,210288.215,0.09079975046335613,14377.570099999983,0.3876366841414262,0.6306420851875397,0.2430054010461135
"Deschutes County, Oregon",197692,41,17,191996,186875,181307,175268,170388,165954,162277,160338,157894,158629,158456,154028,149140,140161,413500,408500,368600,317500,312600,257200,240000,235300,216200,260700,284300,331600,356700,336600,236100,41017,7817065156.0,94747043.0,43.9151181,-121.2255751,190975.2618,205433.8442,217799.6342,228210.0153,236402.4822,0.0757091900999294,14458.582399999985,0.4104636810525039,0.7513765353663702,0.34091285431386625
