STATE,COUNTY,GEO_ID,NAME,LAND AREA,WATER AREA,LATITUDE,LONGITUDE,SSP3_2020,SSP3_2025,SSP3_2030,SSP3_2035,SSP3_2040
02,013,02013,Aleutians East Borough,18083148800,20792209033,+55.2437223,-161.9507485,3701.079992,4161.491879,4570.684878,4840.951613,5004.823159
02,016,02016,Aleutians West Census Area,11370762625,25190643524,+51.9594469,+178.3388130,6317.437776,6934.119034,7591.938847,8214.032902,8765.166626
28,107,28107,Panola County,1774515519,51767046,+34.3652052,-89.9630654,32886.98172,31281.86413,29402.22479,27498.7533,25592.40039
28,101,28101,Newton County,1497282694,3879399,+32.4019702,-89.1184115,21134.69676,20451.12326,19599.82581,18716.98692,17805.839
28,027,28027,Coahoma County,1430818231,79539470,+34.2286699,-90.603165,22386.5969,20264.76919,18147.16805,16172.60048,14365.32291
22,065,22065,Madison Parish,1617283455,68538668,+32.3658243,-91.240729,11057.36009,10432.20725,9766.014019,9122.996625,8537.945103
51,540,51540,Charlottesville city,26517362,52974,+38.0376579,-78.4853806,48996.00727,51744.4751,54424.70431,55734.51496,56829.82153
51,510,51510,Alexandria city,38919733,1140371,+38.8183429,-77.0820263,166321.5684,176876.7741,186184.062,195140.1453,203083.0581
51,530,51530,Buena Vista city,17362236,223855,+37.7316634,-79.3563746,6387.978883,6211.050382,5994.75368,5753.273787,5503.952719
51,600,51600,Fairfax city,16159465,95054,+38.8531833,-77.2990252,24250.24943,24559.10181,24659.30067,24602.57426,24473.83907
48,113,48113,Dallas County,2256602704,96696353,+32.7669866,-96.7784238,2709549.396,2846244.378,2968057.521,3083035.886,3183490.355
48,227,48227,Howard County,2333038341,8841951,+32.3035834,-101.4385304,39295.35061,41596.99504,43731.00393,45900.3504,47896.27247
48,155,48155,Foard County,1824378528,8514811,+33.9804040,-99.7774272,1156.762787,1082.330591,1009.786145,942.3718531,887.2156664
48,153,48153,Floyd County,2569637321,983740,+34.0737305,-101.3032742,5433.874111,4993.871021,4573.728284,4194.563164,3834.644128
48,043,48043,Brewster County,16015795085,22064004,+29.8089965,-103.2524579,8837.253619,8478.005812,8013.038152,7503.884936,7006.646414
48,159,48159,Franklin County,736568975,26876088,+33.1758457,-95.2190662,10397.14628,10189.03005,9953.281558,9689.286708,9405.774987
48,231,48231,Hunt County,2176414426,108014750,+33.1234378,-96.0838072,91717.70029,93119.8543,93866.4939,94187.40638,94027.95281
48,351,48351,Newton County,2418212417,15672105,+30.7867182,-93.73925,13373.73178,12619.09858,11802.94876,10981.59775,10196.66559
48,427,48427,Starr County,3168018574,15302285,+26.5463354,-98.7158034,64145.23355,64051.69881,63565.10952,62980.00346,62379.3704
48,271,48271,Kinney County,3522525947,13125082,+29.3470865,-100.4177003,3457.015648,3340.58387,3204.587449,3064.828208,3000.614587
48,087,48087,Collingsworth County,2378750619,2279238,+34.9633577,-100.2721351,2972.701394,2930.761744,2870.552692,2825.577475,2780.823419
48,451,48451,Tom Green County,3941889598,48104792,+31.4015829,-100.4613549,123762.2914,129299.5835,134192.7232,138650.686,142712.1468
48,083,48083,Coleman County,3268424436,50472266,+31.9142052,-99.3466224,7670.926166,7029.988456,6399.176461,5813.987366,5299.512605
48,039,48039,Brazoria County,3516429692,649792694,+29.1678175,-95.434647,375550.1357,402042.2093,426016.4366,448617.3932,469032.6649
48,289,48289,Leon County,2779447286,19343049,+31.3004925,-95.9956219,16875.92369,16564.75601,16134.48444,15666.90409,15149.87499
48,131,48131,Duval County,4645094317,5478267,+27.6811232,-98.4973933,10859.43534,10336.04882,9772.888334,9238.892141,8760.35609
48,279,48279,Lamb County,2631897591,3973761,+34.0688615,-102.3480182,12573.81249,11805.2597,11033.4829,10327.53999,9616.929576
48,343,48343,Morris County,652637107,17394113,+33.1164660,-94.7312653,11855.26174,11145.32287,10392.75191,9673.706947,9001.043308
48,423,48423,Smith County,2386555662,73211865,+32.3770925,-95.2696296,231045.3227,238272.4361,243973.2303,248764.181,252242.5094
48,239,48239,Jackson County,2148225451,71061093,+28.9598019,-96.58908,15389.46952,15860.28072,16271.55997,16669.16611,17003.79723
48,325,48325,Medina County,3432656186,23769485,+29.3536614,-99.1110846,50291.54615,52038.56673,53384.76804,54307.64358,55047.038
48,483,48483,Wheeler County,2368603566,2481251,+35.3925926,-100.2531067,5819.454778,5946.788145,6076.29118,6221.801962,6357.737962
48,111,48111,Dallam County,3893423598,5182951,+36.2863696,-102.5940204,7280.34175,7408.015309,7577.933915,7758.426888,7917.488014
48,059,48059,Callahan County,2329363248,4898788,+32.2931499,-99.372249,13415.56747,13109.42807,12705.10216,12267.66681,11801.73421
48,277,48277,Lamar County,2349611989,67113408,+33.6672628,-95.5703477,48183.82734,46325.40662,44076.06306,41767.40204,39515.39858
48,099,48099,Coryell County,2724838887,12145955,+31.3911774,-97.7980223,73958.70185,72356.34668,70820.42632,68798.93509,66595.05248
48,165,48165,Gaines County,3891133239,1262945,+32.7439424,-102.6315615,22256.28142,24128.2139,25947.63114,27814.82301,29635.96792
48,259,48259,Kendall County,1715745632,1496809,+29.9445241,-98.7110939,47220.23707,53893.1567,60161.01857,66128.45381,71803.89589
48,347,48347,Nacogdoches County,2451520148,89745988,+31.6205598,-94.6202497,64585.90492,64020.13967,62665.70428,60579.09048,58384.7396
48,331,48331,Milam County,2633837445,12538897,+30.7912420,-96.9843946,23862.63631,23046.12875,22038.52475,21038.84332,20039.71475
48,209,48209,Hays County,1755954943,5037790,+30.0612247,-98.0292673,234179.747,274464.6051,313492.0981,350728.3235,387524.1636
48,489,48489,Willacy County,1529528675,501715776,+26.4810918,-97.5842235,21288.47734,20520.75341,19671.24869,18791.37089,17901.05581
34,017,34017,Hudson County,119634159,41755598,+40.7313837,-74.0786266,710417.123,738001.0329,763063.0045,786013.6551,804653.7042
34,011,34011,Cumberland County,1252784157,502245900,+39.3283874,-75.1216435,151610.826,146346.8346,140489.1604,135296.5266,130276.5481
23,019,23019,Penobscot County,8799125852,413670635,+45.3906022,-68.6574869,148951.8959,144423.8521,137720.4834,129785.9897,121101.1061
50,009,50009,Essex County,1718710619,30291452,+44.7240209,-71.7327362,5850.565878,5505.870191,5078.929303,4624.168755,4180.279838
50,011,50011,Franklin County,1641291023,150933050,+44.8589643,-72.9094023,48877.74783,48409.87165,47584.17413,46493.8867,45018.15249
56,001,56001,Albany County,11069193896,90515065,+41.6655141,-105.7218826,39839.86268,41906.00603,43751.58795,44967.31298,46294.02212
